категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 200 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 200",200,2600,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;200","Фланец стальной воротниковый Ду воротниковый, сталь Py16",200,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 250 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 250",250,4517,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;250","Фланец стальной воротниковый Ду воротниковый, сталь Py16",250,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 300 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 300",300,4500,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;300","Фланец стальной воротниковый Ду воротниковый, сталь Py16",300,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 400 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 400",400,14613,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;400","Фланец стальной воротниковый Ду воротниковый, сталь Py16",400,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные 500 Фланец стальной воротниковый Ду воротниковый, сталь Py16","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py16, размер 500",500,26150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py16;500","Фланец стальной воротниковый Ду воротниковый, сталь Py16",500,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 15 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 15",15,434,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;15","Фланец стальной воротниковый Ду воротниковый, сталь Py40",15,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 25 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 25",25,350,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;25","Фланец стальной воротниковый Ду воротниковый, сталь Py40",25,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 32 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 32",32,445,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;32","Фланец стальной воротниковый Ду воротниковый, сталь Py40",32,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 40 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 40",40,677,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;40","Фланец стальной воротниковый Ду воротниковый, сталь Py40",40,,шт
"Качественные стали","Фланцы стальные","Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные 50 Фланец стальной воротниковый Ду воротниковый, сталь Py40","Фланцы стальные марки Фланец стальной воротниковый Ду воротниковый, сталь Py40, размер 50",50,789,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/КАЧЕСТВЕННЫЕ_СТАЛИ/ФЛАНЦЫ_СТАЛЬНЫЕ/img.webp,"качественные стали;фланцы стальные;фланец стальной воротниковый ду воротниковый, сталь py40;50","Фланец стальной воротниковый Ду воротниковый, сталь Py40",50,,шт
