категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Арматура,АРМАТУРА,кл А3 мотки А400;500,"Арматура рифленая А3 8мм А400, 500","Арматура рифленая А3 8мм А400, 500, марка стали кл А3 мотки А400;500",8,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,профнастил;арматура;кл а3 мотки а400;500;8;рифленая;а3;8мм;а400,кл А3 мотки А400;500,8,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 мотки А400;500,"Арматура рифленая А3 10мм А400, 500","Арматура рифленая А3 10мм А400, 500, марка стали кл А3 мотки А400;500",10,54490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,профнастил;арматура;кл а3 мотки а400;500;10;рифленая;а3;10мм;а400,кл А3 мотки А400;500,10,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 мотки А400;500,"Арматура рифленая А3 12мм А400, 500","Арматура рифленая А3 12мм А400, 500, марка стали кл А3 мотки А400;500",12,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,профнастил;арматура;кл а3 мотки а400;500;12;рифленая;а3;12мм;а400,кл А3 мотки А400;500,12,ГОСТ 5781-82,т
Арматура,КАТАНКА,мотки,Катанка 6 мм (мотки),Катанка 6 мм (мотки),6,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/KATANKA/img.jpg,профнастил;катанка;мотки;6;мм,мотки,6,ГОСТ 30136-95,т
Арматура,АРМАТУРА,кл А1 А240,Арматура гладкая А1 А240 8мм,"Арматура гладкая марки А1 А240, диаметр 8мм",8,51790,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240;8;гладкая;глаткая,кл А1 А240,8,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240,Арматура гладкая А1 А240 12мм,"Арматура гладкая марки А1 А240, диаметр 12мм",12,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240;12;гладкая;глаткая,кл А1 А240,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240,"Арматура гладкая А1 А240 14 , 18, 20мм","Арматура гладкая марки А1 А240, диаметр 14 , 18, 20мм",14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240;14;18;20;гладкая;глаткая,кл А1 А240,14 ; 18; 20,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240,Арматура гладкая А1 А240 22мм,"Арматура гладкая марки А1 А240, диаметр 22мм",22,47490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240;22;гладкая;глаткая,кл А1 А240,22,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240,Арматура гладкая А1 А240 25мм,"Арматура гладкая марки А1 А240, диаметр 25мм",25,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240;25;гладкая;глаткая,кл А1 А240,25,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240 6м,"Арматура гладкая А1 А240 6м 6 , 8мм","Арматура гладкая марки А1 А240 6м, диаметр 6 , 8мм",6,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/ARMATURA/img.jpg,сортовой прокат;арматура;кл а1 а240 6м;6;8;гладкая;глаткая,кл А1 А240 6м,6 ; 8,ГОСТ 34028-2016,т
