категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 1.8 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 1.8",1.8,57990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;1;8,Ст3 н/обр,1.8,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 1.8 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 1.8",1.8,59490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;1;8,Ст3 н/обр,1.8,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 2 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 2",2,55990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;2,Ст3 н/обр,2,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 2 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 2",2,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;2,Ст3 н/обр,2,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 2.5 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 2.5",2.5,56490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;2;5,Ст3 н/обр,2.5,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 2.5 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 2.5",2.5,58490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;2;5,Ст3 н/обр,2.5,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 3 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 3",3,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;3,Ст3 н/обр,3,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 4 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 4 ; 5",4,55990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;4;5,Ст3 н/обр,4 ; 5,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 5 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 5",5,57990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;5,Ст3 н/обр,5,,т
Листовой прокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА 5 Ст3 н/обр,"СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА марки Ст3 н/обр, размер 5 ; 6",5,55990,теор.т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;5;6,Ст3 н/обр,5 ; 6,,теор.т
