категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубы,Трубы чугунные безраструбные SML,Крестовина SML 2-х плоскостная 90гр двухпл,Трубы чугунные безраструбные SML 100 Крестовина SML 2-х плоскостная 90гр двухпл,"Трубы чугунные безраструбные SML марки Крестовина SML 2-х плоскостная 90гр двухпл, размер 100",100,1015,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;крестовина sml 2-х плоскостная 90гр двухпл;100,Крестовина SML 2-х плоскостная 90гр двухпл,100,,шт
Трубы,Трубы чугунные безраструбные SML,Крестовина SML 2-х плоскостная 90гр двухпл,Трубы чугунные безраструбные SML 125 Крестовина SML 2-х плоскостная 90гр двухпл,"Трубы чугунные безраструбные SML марки Крестовина SML 2-х плоскостная 90гр двухпл, размер 125",125,1497,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;крестовина sml 2-х плоскостная 90гр двухпл;125,Крестовина SML 2-х плоскостная 90гр двухпл,125,,шт
Трубы,Трубы чугунные безраструбные SML,Крестовина SML 2-х плоскостная 90гр двухпл,Трубы чугунные безраструбные SML 150 Крестовина SML 2-х плоскостная 90гр двухпл,"Трубы чугунные безраструбные SML марки Крестовина SML 2-х плоскостная 90гр двухпл, размер 150",150,1702,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;крестовина sml 2-х плоскостная 90гр двухпл;150,Крестовина SML 2-х плоскостная 90гр двухпл,150,,шт
Трубы,Трубы чугунные безраструбные SML,Муфта обжимная SML Grip E,Трубы чугунные безраструбные SML 50 Муфта обжимная SML Grip E,"Трубы чугунные безраструбные SML марки Муфта обжимная SML Grip E, размер 50",50,2950,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;муфта обжимная sml grip e;50,Муфта обжимная SML Grip E,50,,шт
Трубы,Трубы чугунные безраструбные SML,Муфта обжимная SML Grip E,Трубы чугунные безраструбные SML 100 Муфта обжимная SML Grip E,"Трубы чугунные безраструбные SML марки Муфта обжимная SML Grip E, размер 100",100,4180,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;муфта обжимная sml grip e;100,Муфта обжимная SML Grip E,100,,шт
Трубы,Трубы чугунные безраструбные SML,Муфта обжимная SML Grip E,Трубы чугунные безраструбные SML 125 Муфта обжимная SML Grip E,"Трубы чугунные безраструбные SML марки Муфта обжимная SML Grip E, размер 125",125,6150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;муфта обжимная sml grip e;125,Муфта обжимная SML Grip E,125,,шт
Трубы,Трубы чугунные безраструбные SML,Муфта обжимная SML Grip E,Трубы чугунные безраструбные SML 200 Муфта обжимная SML Grip E,"Трубы чугунные безраструбные SML марки Муфта обжимная SML Grip E, размер 200",200,10150,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;муфта обжимная sml grip e;200,Муфта обжимная SML Grip E,200,,шт
Трубы,Трубы чугунные безраструбные SML,Муфта обжимная SML Grip E,Трубы чугунные безраструбные SML 300 Муфта обжимная SML Grip E,"Трубы чугунные безраструбные SML марки Муфта обжимная SML Grip E, размер 300",300,21865,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;муфта обжимная sml grip e;300,Муфта обжимная SML Grip E,300,,шт
Трубы,Трубы чугунные безраструбные SML,Отвод чугунный SML 15гр,Трубы чугунные безраструбные SML 50 Отвод чугунный SML 15гр,"Трубы чугунные безраструбные SML марки Отвод чугунный SML 15гр, размер 50",50,121,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;отвод чугунный sml 15гр;50,Отвод чугунный SML 15гр,50,,шт
Трубы,Трубы чугунные безраструбные SML,Отвод чугунный SML 15гр,Трубы чугунные безраструбные SML 125 Отвод чугунный SML 15гр,"Трубы чугунные безраструбные SML марки Отвод чугунный SML 15гр, размер 125",125,483,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/TRUBY/TRUBY_CHUGUNNYE_BEZRASTRUBNYE_SML/img.jpg,качественные стали;трубы чугунные безраструбные sml;отвод чугунный sml 15гр;125,Отвод чугунный SML 15гр,125,,шт
