категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 90 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 90",90,603137,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;90,Анкер клиновой 10,90,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 10,Анкерная техника 95 Анкер клиновой 10,"Анкерная техника марки Анкер клиновой 10, размер 95",95,649925,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 10;95,Анкер клиновой 10,95,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 100 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 100",100,100310,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;100,Анкер клиновой 12,100,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 100 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 100",100,943235,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;100,Анкер клиновой 12,100,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 135 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 135",135,123350,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;135,Анкер клиновой 12,135,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 140 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 140",140,118404,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;140,Анкер клиновой 12,140,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 150 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 150",150,126015,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;150,Анкер клиновой 12,150,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 150 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 150",150,143278,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;150,Анкер клиновой 12,150,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 160 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 160",160,136098,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;160,Анкер клиновой 12,160,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 12,Анкерная техника 180 Анкер клиновой 12,"Анкерная техника марки Анкер клиновой 12, размер 180",180,159205,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 12;180,Анкер клиновой 12,180,,тыс.шт
Инженерные системы,Анкерная техника,Анкер клиновой 16,Анкерная техника 120 Анкер клиновой 16,"Анкерная техника марки Анкер клиновой 16, размер 120",120,200130,тыс.шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/INZHENERNYE_SISTEMY/ANKERNAYA_TEKHNIKA/img.webp,инженерные системы;анкерная техника;анкер клиновой 16;120,Анкер клиновой 16,120,,тыс.шт
