категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Трубы,"ТРУБЫ НЕРЖАВ. БЕСШОВНЫЕ","57 12Х18Н10Т","ТРУБЫ НЕРЖАВ. БЕСШОВНЫЕ 4 57 12Х18Н10Т","ТРУБЫ НЕРЖАВ. БЕСШОВНЫЕ марки 57 12Х18Н10Т, размер 4",4,2789,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/ТРУБЫ/ТРУБЫ_НЕРЖАВ_БЕСШОВНЫЕ/img.webp,"трубы;трубы нержав. бесшовные;57 12х18н10т;4","57 12Х18Н10Т",4,,м
Трубы,"ТРУБЫ НЕРЖАВ. БЕСШОВНЫЕ","76 12Х18Н10Т","ТРУБЫ НЕРЖАВ. БЕСШОВНЫЕ 3,5 76 12Х18Н10Т","ТРУБЫ НЕРЖАВ. БЕСШОВНЫЕ марки 76 12Х18Н10Т, размер 3,5",3,3339,м,1,0,0,https://www.kavstal.ru/public/assets/images/products/ТРУБЫ/ТРУБЫ_НЕРЖАВ_БЕСШОВНЫЕ/img.webp,"трубы;трубы нержав. бесшовные;76 12х18н10т;3;5","76 12Х18Н10Т","3,5",,м
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ФЛАНЕЦ","12Х18Н10Т 150x25x11","ДЕТАЛИ ТРУБОПРОВОДОВ - ФЛАНЕЦ 150 12Х18Н10Т 150x25x11","ДЕТАЛИ ТРУБОПРОВОДОВ - ФЛАНЕЦ марки 12Х18Н10Т 150x25x11, размер 150",150,16078,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ФЛАНЕЦ/img.webp,"трубы;детали трубопроводов - фланец;12х18н10т 150x25x11;150","12Х18Н10Т 150x25x11",150,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 102x7 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 102 12Х18Н10Т 90° 102x7 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 102x7 импорт, размер 102",102,2174,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 102x7 импорт;102","12Х18Н10Т 90° 102x7 импорт",102,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 108x4 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 108 12Х18Н10Т 90° 108x4 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 108x4 импорт, размер 108",108,2582,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 108x4 импорт;108","12Х18Н10Т 90° 108x4 импорт",108,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 108x4.5 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 108 12Х18Н10Т 90° 108x4.5 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 108x4.5 импорт, размер 108",108,2475,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 108x4.5 импорт;108","12Х18Н10Т 90° 108x4.5 импорт",108,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 108x5","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 108 12Х18Н10Т 90° 108x5","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 108x5, размер 108",108,3785,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 108x5;108","12Х18Н10Т 90° 108x5",108,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 108x5 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 108 12Х18Н10Т 90° 108x5 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 108x5 импорт, размер 108",108,2646,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 108x5 импорт;108","12Х18Н10Т 90° 108x5 импорт",108,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 108x6 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 108 12Х18Н10Т 90° 108x6 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 108x6 импорт, размер 108",108,3050,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 108x6 импорт;108","12Х18Н10Т 90° 108x6 импорт",108,,шт
"Инженерные системы","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД","12Х18Н10Т 90° 108x8 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД 108 12Х18Н10Т 90° 108x8 импорт","ДЕТАЛИ ТРУБОПРОВОДОВ - ОТВОД марки 12Х18Н10Т 90° 108x8 импорт, размер 108",108,3857,шт,1,0,0,https://www.kavstal.ru/public/assets/images/products/ИНЖЕНЕРНЫЕ_СИСТЕМЫ/ДЕТАЛИ_ТРУБОПРОВОДОВ___ОТВОД/img.webp,"трубы;детали трубопроводов - отвод;12х18н10т 90° 108x8 импорт;108","12Х18Н10Т 90° 108x8 импорт",108,,шт
