категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк К,Круг стальной конструкционный 8 мм Ст3 оцинк К,Круг стальной конструкционный 8 мм Ст3 оцинк К,8,101250,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3 оцинк к;8;12;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк К,8 ; 12,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,Ст3 оцинк оцинк,Круг стальной конструкционный 10 мм Ст3 оцинк оцинк,Круг стальной конструкционный 10 мм Ст3 оцинк оцинк,10,104990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;ст3 оцинк оцинк;10;круг;стальной;конструкционный;мм;ст3;оцинк,Ст3 оцинк оцинк,10,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 16 мм 09Г2С,Круг стальной конструкционный 16 мм 09Г2С,16,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;16;20;22;24;25;28;30;32;36;45;48;50;56;65;75;80;круг;стальной;конструкционный;мм,09Г2С,16 ; 20; 22; 24; 25; 28; 30; 32; 36; 45; 48; 50; 56; 65; 75; 80,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 85 мм 09Г2С,Круг стальной конструкционный 85 мм 09Г2С,85,54990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;85;90;100;круг;стальной;конструкционный;мм,09Г2С,85 ; 90; 100,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 105 мм 09Г2С,Круг стальной конструкционный 105 мм 09Г2С,105,58590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;105;110;120;130;150;160;круг;стальной;конструкционный;мм,09Г2С,105 ; 110; 120; 130; 150; 160,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 170 мм 09Г2С,Круг стальной конструкционный 170 мм 09Г2С,170,64590,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;170;180;круг;стальной;конструкционный;мм,09Г2С,170 ; 180,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 190 мм 09Г2С,Круг стальной конструкционный 190 мм 09Г2С,190,67990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;190;200;круг;стальной;конструкционный;мм,09Г2С,190 ; 200,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 210 мм 09Г2С,Круг стальной конструкционный 210 мм 09Г2С,210,74990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;210;220;круг;стальной;конструкционный;мм,09Г2С,210 ; 220,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 240 мм 09Г2С,Круг стальной конструкционный 240 мм 09Г2С,240,78990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;240;250;круг;стальной;конструкционный;мм,09Г2С,240 ; 250,ГОСТ 2590-2006,т
Сортовой прокат,СТАЛЬ СОРТ КОНСТР КРУГ,09Г2С,Круг стальной конструкционный 260 мм 09Г2С,Круг стальной конструкционный 260 мм 09Г2С,260,87990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/SORTOVOI_PROKAT/STAL_SORT_KONSTR_KRUG/img.png,листовой прокат;сталь сорт констр круг;09г2с;260;круг;стальной;конструкционный;мм,09Г2С,260,ГОСТ 2590-2006,т
