категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Нержавеющая сталь,Резка нержавеющего,"1,5 - 3","Резка нержавеющего 500 1,5 - 3","Резка нержавеющего марки 1,5 - 3, размер 500",500,260,300,1,0,0,https://www.kavstal.ru/public/assets/images/products/NERZHAVEYUSHCHAYA_STAL/REZKA_NERZHAVEYUSHCHEGO/img.png,"резка нержавеющего;1,5 - 3;500","1,5 - 3",500,,300
Нержавеющая сталь,Резка нержавеющего,4 - 5,Резка нержавеющего 700 4 - 5,"Резка нержавеющего марки 4 - 5, размер 700",700,350,400,1,0,0,https://www.kavstal.ru/public/assets/images/products/NERZHAVEYUSHCHAYA_STAL/REZKA_NERZHAVEYUSHCHEGO/img.png,резка нержавеющего;4 - 5;700,4 - 5,700,,400
Нержавеющая сталь,Резка нержавеющего,6 - 8,Резка нержавеющего 900 6 - 8,"Резка нержавеющего марки 6 - 8, размер 900",900,420,500,1,0,0,https://www.kavstal.ru/public/assets/images/products/NERZHAVEYUSHCHAYA_STAL/REZKA_NERZHAVEYUSHCHEGO/img.png,резка нержавеющего;6 - 8;900,6 - 8,900,,500
Нержавеющая сталь,Резка нержавеющего,10,Резка нержавеющего 1000 10,"Резка нержавеющего марки 10, размер 1000",1000,510,600,1,0,0,https://www.kavstal.ru/public/assets/images/products/NERZHAVEYUSHCHAYA_STAL/REZKA_NERZHAVEYUSHCHEGO/img.png,резка нержавеющего;10;1000,10,1000,,600
